ano,km,potencia,preco
2015,120000,1.0,28000
2018,80000,1.6,45000
2020,45000,1.0,52000
2012,150000,2.0,31000
2021,25000,1.4,68000
2017,95000,1.0,38000
2019,60000,2.0,62000
2016,110000,1.6,41000
2014,130000,1.0,25000
2015,100000,1.4,32000
2018,65000,2.0,55000
2022,15000,1.0,61000
2020,30000,1.6,58000
2013,140000,1.6,29000
2019,50000,1.4,51000
2021,20000,2.0,79000
2016,85000,1.0,34000
2017,70000,1.6,46000
2018,90000,1.0,39000
2023,10000,1.3,75000
2011,160000,1.0,22000
2015,115000,2.0,37000
2019,40000,1.0,47000
2020,35000,1.4,56000
2022,18000,2.0,84000
2012,50000,1.6,32000
2008,90000,1.5,35000
2012,70000,1.5,25000
2015,50000,1.6,70000.0
